Wavelength	I1	I1 dark	R1	R1dark	XCorrect	I1c	R1c	I1c/R1c	Abs	Percent T
nm	uA	uA	uA	uA		uA	uA	uA/uA	OD	T*100
	Abs Detector Raw	Dark Offset for Abs Detector	Ref Detector Raw	Dark Offset for Ref Detector	Linear interp	Dark subtracted Abs Detector	Corrected Ref Detector	Corrected Intensity 	-Log(T)	% Transmittance
470	6.62177794717349		10.3956480419571		1.00837337970734	6.61875111456497	10.4813956286861	0.63147612675266	0.00260700744577431	99.4015124663604
467	6.51087769615179		10.1679618709919		1.01152622699738	6.50785086354326	10.2838569240674	0.632821995832411	0.00268893430851352	99.3827627784608
464	5.97827316214716		9.31179958193251		1.01397097110748	5.97524632953863	9.44058813165332	0.632931576530094	0.00280903227787522	99.3552836869021
461	5.52117622061425		8.59158549057206		1.01485335826874	5.51814938800572	8.71789191795367	0.632968318480942	0.00288631693518968	99.3376045401747
458	5.03499438417803		7.84136759562057		1.01428949832916	5.0319675515695	7.95211006121007	0.632783941977256	0.00299357494436917	99.313074092412
455	4.60622282583272		7.1944081084596		1.01259446144104	4.6031959932242	7.28371324417975	0.631984791123196	0.00309645472289045	99.2895506598056
452	4.32419391582684		6.77778495826887		1.01011085510254	4.32116708321832	6.84501279981944	0.631286925180374	0.0032581614211365	99.2525877295491
449	3.9756246374345		6.24636566595872		1.00753307342529	3.97259780482597	6.29212195812654	0.631360585707528	0.00341694958095514	99.2163053091305
446	3.62824271499445		5.70345056314764		1.00557935237885	3.62521588238592	5.73397660162478	0.632234160383333	0.00360198385417643	99.1740424957694
443	3.54650896532104		5.56333287083643		1.00483906269073	3.54348213271251	5.58895961911816	0.634014624222962	0.00380904529168105	99.1267699051572
440	3.64075841562803		5.68763839524207		1.00555241107941	3.6377315830195	5.71792301440288	0.636198069448717	0.00397295249549338	99.0893655016095
437	3.73387987033406		5.80511912963592		1.00733554363251	3.73085303772553	5.84640504975252	0.638144809669569	0.00416833155854398	99.044797509052
